matrix_id,candidate_id,vector,support,support_size,extended_support,extended_support_size,shift_reference,is_ess,reason_ess,payoff,payoff_double
2,1,"1,0",1,1,1,1,0,True,1,3,3.0
2,2,"0,1",2,1,2,1,0,True,1,4,4.0
3,1,"3/8,5/8,0",3,2,3,2,0,True,2,89/16,5.5625
4,1,"0,0,1",4,1,7,3,0,False,7,1,1.0
4,2,"1/2,1/2,0",3,2,3,2,0,True,2,3/2,1.5
7,1,"0,0,1,0",4,1,7,3,0,False,7,0,0.0
7,2,"0,0,0,1",8,1,11,3,0,False,7,0,0.0
7,3,"1/2,1/2,0,0",3,2,15,4,0,False,7,0,0.0
9,1,"1/2,0,1/2,0,0",5,2,5,2,0,True,2,3/2,1.5
9,2,"0,1/2,1/2,0,0",6,2,6,2,0,True,2,3/2,1.5
9,3,"1/2,0,0,1/2,0",9,2,9,2,0,True,2,3/2,1.5
9,4,"0,1/2,0,1/2,0",10,2,10,2,0,True,2,3/2,1.5
9,5,"1/2,0,0,0,1/2",17,2,17,2,0,True,2,3/2,1.5
9,6,"0,1/2,0,0,1/2",18,2,18,2,0,True,2,3/2,1.5
